Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Age_at_enrollment,Curricular_units_2nd_sem_enrolled,Curricular_units_1st_sem_enrolled,Admission_grade,Curricular_units_2nd_sem_evaluations,Previous_qualification_grade,Curricular_units_2nd_sem_without_evaluations
0,0,0.0,0,0.0,20,0,0,127.3,0,122.0,0
1,6,13.666666666666666,6,14.0,19,6,6,142.5,6,160.0,0
0,0,0.0,0,0.0,19,6,6,124.8,0,122.0,0
1,5,12.4,6,13.428571428571429,20,6,6,119.6,10,122.0,0
1,6,13.0,5,12.333333333333334,45,6,6,141.5,6,100.0,0
1,5,11.5,5,11.857142857142858,50,5,5,114.8,17,133.1,5
1,8,14.345,7,13.3,18,8,7,128.4,8,142.0,0
0,0,0.0,0,0.0,22,5,5,113.1,5,119.0,0
1,6,14.142857142857142,6,13.875,21,6,6,129.3,7,137.0,0
0,2,13.5,5,11.4,18,6,6,123.0,14,138.0,0
1,5,14.2,6,12.333333333333334,18,6,6,130.6,7,139.0,0
1,7,13.214285714285714,7,13.214285714285714,18,8,8,119.3,8,136.0,0
0,0,0.0,0,0.0,19,6,6,130.2,0,133.0,0
1,5,11.0,6,10.571428571428571,21,6,6,111.8,8,110.0,0
1,5,12.0,4,13.25,18,5,5,137.1,5,149.0,0
0,0,0.0,5,13.2,20,6,6,120.7,7,127.0,0
1,8,14.545,7,13.30625,18,8,7,127.3,8,135.0,0
1,4,12.25,4,12.5,20,5,5,136.3,8,137.0,2
1,0,0.0,0,0.0,21,0,0,120.3,0,122.0,0
1,7,12.857142857142858,7,12.857142857142858,18,8,8,125.5,12,142.0,0
1,6,12.285714285714286,6,13.375,19,6,6,114.9,7,125.0,0
1,7,14.114285714285714,6,13.296666666666669,19,8,7,123.9,9,126.0,0
1,6,13.285714285714286,6,11.375,21,6,6,116.4,9,115.0,0
1,5,12.333333333333334,5,12.0,20,5,5,122.1,6,135.0,0
1,4,13.4,6,12.833333333333334,20,6,6,130.0,9,125.0,0
1,6,14.375,6,12.666666666666666,19,6,6,134.5,8,138.0,0
1,5,13.428571428571429,5,12.4,34,5,5,131.4,9,130.0,0
0,1,10.0,0,0.0,37,7,7,102.5,7,130.0,0
0,0,0.0,0,0.0,43,5,5,128.8,0,133.1,0
0,2,12.0,1,10.0,55,5,5,122.9,8,140.0,2
1,5,11.6,5,11.0,39,5,5,113.9,5,120.0,0
0,3,12.0,3,11.666666666666666,20,6,6,120.0,11,120.0,0
0,0,0.0,4,12.75,18,5,6,121.1,5,126.0,0
1,5,15.8,5,14.8,22,5,5,120.4,5,133.0,0
1,7,14.342857142857142,5,13.928,22,8,7,100.6,9,103.0,0
0,5,13.8,4,13.0,20,6,6,121.4,7,120.0,0
0,0,0.0,0,0.0,29,5,5,109.7,0,133.1,0
1,5,13.2,6,11.666666666666666,18,6,6,127.6,8,130.0,0
1,7,13.771428571428572,6,13.516666666666666,22,8,7,132.4,9,132.0,0
1,6,13.285714285714286,6,11.5,21,6,6,133.4,7,130.0,0
1,6,12.833333333333334,5,12.333333333333334,19,6,6,126.1,7,139.0,0
1,6,14.166666666666666,6,13.666666666666666,24,6,6,113.5,6,130.0,0
1,5,15.8,5,14.714285714285714,19,5,5,159.3,5,167.0,0
0,5,11.0,5,10.6,27,5,5,120.0,10,130.0,0
1,8,13.595,7,13.044444444444444,18,8,7,129.1,10,130.0,0
0,0,0.0,0,0.0,39,6,6,130.0,6,130.0,0
0,10,12.9,5,13.0,27,11,6,155.3,13,129.0,0
1,8,14.935,8,14.935,18,8,8,139.8,8,141.0,0
1,7,12.221428571428572,6,13.133333333333333,18,8,7,114.9,12,125.0,0
1,6,12.0,6,12.0,21,6,6,131.9,7,130.0,0
0,5,11.0,5,11.9,29,8,7,126.0,10,133.1,0
1,0,0.0,0,0.0,19,0,0,128.2,0,139.0,0
1,6,12.428571428571429,6,12.571428571428571,23,6,6,130.0,7,130.0,0
0,4,10.75,5,11.2,19,5,5,120.1,10,125.0,3
1,8,13.75,7,11.975,24,8,7,130.8,8,150.0,0
0,0,0.0,0,0.0,19,0,0,135.8,0,141.0,0
0,1,12.0,3,11.666666666666666,18,6,6,111.7,12,118.0,0
1,3,12.333333333333334,6,12.333333333333334,18,6,6,132.9,11,142.0,0
0,3,10.857142857142858,3,10.333333333333334,18,5,5,115.5,11,120.0,0
0,1,11.0,4,10.5,21,6,6,106.0,11,106.0,0
1,6,13.333333333333334,6,13.666666666666666,19,6,6,120.3,6,121.0,0
1,8,15.055555555555555,7,14.842857142857142,22,8,7,130.8,9,150.0,0
1,6,11.666666666666666,6,12.0,33,6,6,117.0,6,120.0,0
0,5,12.2,5,12.2,20,6,6,110.2,7,114.0,0
0,0,0.0,0,0.0,35,5,1,155.7,0,140.0,0
